Symbol,Name,산업분류(중분류),cheap_mean_3y,MarketPriceProxy,Base_intrinsic,undervaluation_base,Conservative,Base,Optimistic,undervaluation_Conservative,undervaluation_Base,undervaluation_Optimistic,robust_score,final_score
A009810,플레이그램,도매 및 상품 중개업,0.3429049166738216,0.1781381099652608,-0.1647545312770355,-1.9248696492242154,-0.0679939710629045,-0.1647545312770355,-0.3536113938037463,-1.3816924468108716,-1.9248696492242154,-2.9850406736251163,,-0.4060084364303538
A002100,경농,화학물질 및 화학제품 제조업; 의약품 제외,0.6228457737912557,1.1139464365620133,-1.5528261205967782,-2.393986344073495,-0.6239971047421542,-1.5375128771272186,-3.29725286002581,-1.5601679616373694,-2.380239504039767,-3.9599743325201184,,-0.40677301632642066
A014200,광림,자동차 및 트레일러 제조업,0.5901671183518977,0.10899719266674567,-0.1461898058099766,-2.341225422722086,-0.0639673583922898,-0.1481094045835213,-0.4894591562754457,-1.586871614096221,-2.3588368742336288,-5.49056663112367,,-0.40728406764067693
A068930,디지털대성,교육 서비스업,0.4467388167388167,0.6157641709083737,-0.6806600511078297,-2.1053908026245205,-0.2743856224508519,-0.6773537027951896,-1.4528754859161632,-1.4456017992181633,-2.100021298407082,-3.3594673976774017,,-0.4082478324179478
A006140,피제이전자,"의료, 정밀, 광학기기 및 시계 제조업",0.6265815512295271,0.66812572028928,-0.939065192542044,-2.4055216915395126,-0.3817921411882093,-0.9393528643383549,-2.0146131441407538,-1.571437574687147,-2.4059522569070397,-4.01532044488346,,-0.4083657318470902
A012790,신일제약,의료용 물질 및 의약품 제조업,0.7623271957183525,0.7652783894534526,-1.2493954728483547,-2.632602579749638,-0.4965055924391507,-1.2305103966266988,-2.639122781408693,-1.6487908181932927,-2.607925185899351,-4.448578736547761,,-0.40861717606571507
A051600,한전KPS,전문직별 공사업,0.3228293438587556,3.3935883731900294,-3.062150085564882,-1.9023339747850474,-1.2549339927850127,-3.1054869133956897,-6.658367958989308,-1.3697955835478521,-1.9151041823250003,-2.9620434851768223,,-0.40928552050613637
A099410,동방선기,기타 운송장비 제조업,0.5190912698412699,0.23062525004570905,-0.2839240662906995,-2.2311057277311432,-0.1146280185380112,-0.2839240662906995,-0.6089388036219158,-1.4970315198153383,-2.2311057277311432,-3.640382193628956,,-0.409786083398708
A063080,컴투스홀딩스,출판업,0.4364064936206196,3.49480754264117,-3.827987912728123,-2.0953358278021668,-1.6379068936799386,-3.872224436147152,-10.271442399320318,-1.4686686959711963,-2.107993613067675,-3.9390580951870575,,-0.41039750153034027
A090410,덕신이피씨,금속가공제품 제조업; 기계 및 가구 제외,0.5814101306328615,0.19780278684150618,-0.2648985835737588,-2.339205517796949,-0.1063189485995371,-0.2648985835737588,-0.5681088443787519,-1.5374997506214485,-2.339205517796949,-3.8720972714806163,,-0.411056590022654
A053160,프리엠스,전기장비 제조업,0.28108590071570233,1.3400716248284401,-1.1244544539542871,-1.8391002638371983,-0.4572041975750227,-1.1232739186520906,-2.409290354625684,-1.34117892589029,-1.8382193144309698,-2.7978817773521083,,-0.4111871287933083
