Symbol,Name,Scenario,r,g,payout_DDM,payout_RIM,DDM_price,RIM_price,cheap_mean_3y
A079160,CJ CGV,Optimistic,0.065,0.05,0.3,0.3,-0.03868726644041347,-0.5550560901223226,0.4467238317238317
A049370,CJ엔터테인,Conservative,0.095,-0.01,0.25,0.25,,,
A049370,CJ엔터테인,Base,0.08,0.0,0.3,0.3,,,
A049370,CJ엔터테인,Optimistic,0.065,0.01,0.35,0.35,,,
A003560,IHQ,Conservative,0.095,-0.2448963404533952,0.2,0.2,-0.002290299418965721,0.8999397377215648,0.8509887334887335
A003560,IHQ,Base,0.08,-0.2348963404533952,0.25,0.25,-0.0031310849829967484,0.9978740543793987,0.8509887334887335
A003560,IHQ,Optimistic,0.065,-0.22489634045339518,0.3,0.3,-0.004134666544110561,1.1125913595700285,0.8509887334887335
A035900,JYP Ent.,Conservative,0.095,0.04,0.3,0.3,0.012778312078812524,-0.4744690334129272,0.19351315351315349
A035900,JYP Ent.,Base,0.08,0.05,0.35,0.35,0.027594191548397238,-1.1862658375807178,0.19351315351315349
A035900,JYP Ent.,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.06307243782490797,-2.5442435921209623,0.19351315351315349
A476080,M83,Conservative,0.095,0.04,0.3,0.3,0.05046361296969696,-3.078896866952262,0.5717307692307692
A476080,M83,Base,0.08,0.05,0.35,0.35,0.10897390781517094,-7.6851211587868224,0.5717307692307692
A476080,M83,Optimistic,0.065,0.05,0.39999999999999997,0.39999999999999997,0.24908321786324786,-16.481496763358745,0.5717307692307692
A160550,NEW,Conservative,0.095,0.012796054295274901,0.2,0.2,-0.0022605384862316434,-0.055012817437336305,0.5944257131757131
A160550,NEW,Base,0.08,0.0227960542952749,0.25,0.25,-0.004100677729402189,-0.14658841242604254,0.5944257131757131
A160550,NEW,Optimistic,0.065,0.0327960542952749,0.3,0.3,-0.008826312743552086,-0.3970301170092471,0.5944257131757131
A419530,SAMG엔터,Conservative,0.095,0.04,0.25,0.25,-0.009382573519239054,-0.2898894416712201,0.35278006715506716
A419530,SAMG엔터,Base,0.08,0.05,0.3,0.3,-0.020840139259079057,-0.6940869607443741,0.35278006715506716
A419530,SAMG엔터,Optimistic,0.065,0.05,0.35,0.35,-0.0486269916045178,-1.489637757856813,0.35278006715506716
