Symbol,Name,FCF_z,PBR_z,PER_z,ROA_z,ROE_z,ROIC_z,매출총이익률_z,영업이익률_z,총자산회전율_z,CFO_NI_z,Accruals_z,SalesGrowth_z,EBITGrowth_z,부채비율_z,이자보상배율_z,NIGrowth_z,SalesCAGR3Y_z,EV_EBITDA_z,유동비율_z,F_Score_z,FinalScore
A365270,큐라클,,-0.3399707447466673,,0.3222888293352612,0.3170737920690866,0.31127793243276136,1.0470585219465598,0.3213913434364428,-0.23853029725160058,0.12185222540569944,0.26207140465061735,-0.21914377574754595,0.028844315716676585,-0.35687541585366517,,-0.3042031049285006,,-0.0453919145089862,0.6327406733520463,0.03149089456015781,0.11824841749177145
A365330,에스와이스틸텍,,1.355673492540679,-0.41201731539580083,0.7351643245509784,0.8327373460450724,0.5727595174472955,-0.03522454263846473,0.31579428788594005,2.9549015998643124,-0.08220468490987194,0.21893108733789998,0.41391354913149514,-0.06819513437733803,0.14748039381355504,-0.20946276626485294,0.12894313533362103,0.4428853665665254,0.09894520126819177,-0.2848552776331716,0.46221013736967437,0.3993884062071442
A365340,성일하이텍,,0.6787191934462824,0.11510132135776815,0.18864070958107285,0.010425529572930364,0.23961742488350432,-0.2949912389399382,0.2519851434573767,-0.2528720416701134,-0.060960854970106754,-0.04322830390525887,1.3054329031559064,-0.5945389923326654,-0.18490664215745187,-0.11588352895550882,-0.13235127813006387,1.912256880970953,0.29889675756069495,-0.3359659424951921,-0.11983709621005101,0.15081789180105998
A365590,하이딥,,3.3440007604116078,,-1.4716461556858464,-0.5100258682612665,-1.077591978122966,0.5156492382187988,-0.8980936574713194,-0.2754789902119829,-0.05504405764506324,0.062254756665381085,3.8102454203155816,0.18733178810061094,-0.06757107246217851,,0.07144033388477217,5.986003636620446,-0.16743982054543335,-0.025715945717260547,-0.8563817958748204,0.50423156424818
A365900,브이씨,0.7746317755690306,-0.362333896004274,0.7806163256640823,0.1662898228627072,0.2779572093730676,0.059031255711207875,1.1321316952713483,-0.10883337989302244,-0.06388392710836908,-1.074306826841321,0.10000133080348556,-0.18455609839842235,-0.34127958733660524,0.12688551004526358,-0.44008206799369054,-0.0033508247308886574,0.080204987822501,-0.21859266301219846,-0.32104195481731773,-0.06252705096065292,0.015848081801296574
A366030,공구우먼,,1.627651061655883,0.9486454175300658,1.8548939626818572,0.9292922728215663,1.8639401955467338,-0.061533534233180164,1.7413841585693273,0.334626657992613,0.1795600075828969,-0.019033084975115397,0.6053992663607592,-0.06021915010473663,-1.1133137201607077,3.807388240623956,0.1087842068089813,1.5013375026487712,0.05761381065345192,3.619167121473419,-0.16369602472706407,0.934836229934183
A366330,신한제7호스팩,,0.024257071270138167,,-0.7613249099778017,-0.7380625368349669,,,,-0.525820802596514,-0.016545969073202618,-0.015354060788740242,,,-0.6338910184345272,,1.3675219806918897,,,,-0.3621505910971195,-0.1845967596489827
A367000,플래티어,,-0.1919842421199283,-0.17336497434066356,0.2967054821347843,0.11896747779341514,0.06866815611116488,1.0676829980980227,0.14542320399009767,0.4150650252821831,-0.09688136852906752,0.07265770341039625,-0.22361658188595182,-0.25031194713047783,-0.2752595483854529,-0.2560318143779206,-0.041499961412548234,-0.1688615558582539,-0.0011176233647170835,0.09723079768879721,-0.6543045571237046,-0.0026754384220960548
A367340,DB금융스팩8호,,0.2702605915844143,3.544228848966851,-0.18292811078169302,-0.4566671962958726,,,,-0.8741368890394192,0.16144444308333653,-0.03736693180194381,,,-0.9074844484177693,,0.019162323209847187,,,,-0.35937277841497445,0.11771398520927764
A367360,DB금융스팩9호,,0.0614923822775923,-0.2311174233391005,-0.1262248462749248,-0.4630872003863159,,,,-0.525820802596514,0.24820457620506473,-0.015300817279163298,,,-0.6380552048745773,,-0.39545608251634223,,,,-0.3621505910971195,-0.24475160098814003
A367460,유안타제7호스팩,,-0.051034760803972866,1.4956644782701523,-0.17893235684087008,-0.6039386054972228,,,,-0.5326704354254447,0.4195424811844903,-0.2153382126208658,,,-0.7008127417311975,,-0.4852201034860648,,,,0.5625522500798394,-0.029018800687115643
A367480,유안타제8호스팩,,-0.014058495619314305,-0.14430695768212629,-0.18116730993331792,-0.48705258989297684,,,,-0.525820802596514,0.11784953702500844,-0.015319981043017183,,,-0.6126196866208069,,-0.22126031852747655,,,,-0.13232447026796734,-0.22160810751585092
A368600,아이씨에이치,,-0.028048478994094628,,0.15135382515707455,0.1685534245637996,0.08645921560117063,0.16792085760885989,-0.2022802278908263,-0.5799672183138644,0.0014727504870385363,0.06756661868167542,0.7356792712140425,0.059753989634907106,-0.1108301403813216,-0.13762933427576607,0.13211776411148293,0.26496695587257035,-0.06971192420947336,-0.12322701796178799,-0.843250079022881,-0.014394430450966327
A368770,파이버프로,0.1519048108620673,-0.05076718971128853,-0.17167286508682447,0.3646545656643299,0.2496103097892406,0.273820647169408,0.23262164536822708,0.25657149695415965,-0.028886165396378432,-0.3091955759497168,0.11191111088878368,-0.10215834516417893,0.0453223985969774,-0.18404512044436405,-0.17568490946099535,-0.402494315605221,-0.14863821731269966,0.14743729378792816,0.21840886439041,-0.28538933133959316,0.009666555400013568
A368970,오에스피,,0.5464548426942625,0.04547781952261919,0.6830799069809937,0.2479952380025996,0.9185568921812336,0.13297748869253145,0.8694591913324182,-0.8691721216143743,-0.4887156725194195,-0.00845616934460397,1.5645275618321406,-0.05677252979777037,-0.8205291896567518,-0.16577551867294726,-0.03640355543046634,0.7291158394655352,0.09751085455568499,1.347212860706522,-0.8100609347520455,0.20665698969358745
A369370,블리츠웨이엔터테인먼트,,1.3408232404462266,,0.25293360748475063,0.4280556785248548,0.7682412784149607,0.45406307001174473,0.40920071562658844,0.5148840169639403,0.1711671023237096,0.48427751596943786,-0.23958181928204525,-0.12923313039924714,-1.3454347818221981,1.0,-0.012338406136367682,0.9972506635987979,-0.22259238711329668,1.7434419765670668,-0.3335942789012519,0.3489757812376484
A370090,퓨런티어,,0.4545083358169247,0.7612773645290482,0.6613204758317305,0.40422418964782314,0.4691834825900934,0.08245006779773122,0.2383698120035116,1.3849147783239362,-0.06696809371620481,0.1935169890600544,0.3294402939445292,0.15775083999036246,-0.19463795673405823,-0.186001739162179,0.055982959907932485,0.4668288508329318,0.26925787785081795,0.11017465774600484,0.26389937153428905,0.30818381883133056
A371950,풍원정밀,-0.16168805175260328,0.34703146584419053,-0.021639449127048602,-0.17850139976901855,0.11377983272365129,-0.04837251428079146,-0.909986943388733,-0.23473164146837325,-0.5764461223003207,-0.06786124887367044,0.06475751759918104,-0.10340162264289425,-0.8216488853361482,-0.15044753865307883,-0.14645023957082726,-0.11598473666913085,-0.07831526701690754,0.06124230780013367,-0.47633311343118345,-0.2846733628542611,-0.1894835506583917
A372170,윤성에프앤씨,,0.3379298994855549,-0.12887340237303366,0.35991965897144057,0.27993920402901795,0.11390625053445828,-0.12144758431700255,0.13229538164268476,0.5053498601618035,0.179493398641954,0.38713883042647423,1.0457867936140504,-0.09846287075711374,0.3378061718045229,-0.09374019747931986,-0.6568340047212026,0.5446664466293393,0.026472006442503488,-0.35624147910227827,-0.7240578267334653,0.10900244931054674
A372290,하나머스트7호스팩,,1.1598477066899147,0.07069419298976991,-0.1854438788013878,-0.4576810730498247,,,,-0.49047892732073956,0.1555836670794565,-0.10992269212289157,,,-0.6105109044907621,,-0.3912470445899989,,,,0.5213425487802686,-0.03378164048361948
A372320,큐로셀,,0.2317714921624466,,-0.5899724632972295,-5.458184733143447,0.28466225706859666,,,-0.7440722626936688,-0.06761471082549701,-0.4510763130902435,,-0.0009910454233357767,-0.03271812782589366,,1.089486599350446,,0.33631453362381053,-0.21840334297735456,-0.16685157322997077,-0.4452038223308724
A372800,아이티아이즈,-0.3517059979988809,-0.10972635521008574,,-0.5132240684673859,-0.3457699889340498,-1.4961936955433097,-1.8832062514983354,0.11200040443667753,2.1674484628085735,0.027140090599858793,0.0897196601015854,-0.20188697564202826,0.26625849531469664,0.2706773371742364,,0.11683229394185907,0.2010386765391947,-0.2706010512771347,-0.4723487970168366,-0.7846607103475512,-0.17656713727882867
A372910,한컴라이프케어,0.03548950139837364,-0.4633288190837341,0.004645642794002458,0.24387828396600905,0.25897335126824594,0.11406020032011203,-0.3499575986158064,0.21831743699381392,-0.07673736355235428,-0.5547997146809552,-0.12819784355621414,-0.2227920612150922,-0.095040103764172,-0.14958021317799564,-0.2834823425589462,-0.2470912866013919,-0.4177475269454114,0.17345664436037944,-0.5493960391693866,0.44716074939062206,-0.10210845512149506
A373110,엑셀세라퓨틱스,,,,-1.9635024738792375,-2.3305703891439173,-0.47847760515056253,-5.1876062281700746,0.02889012852276586,-1.2996798417734643,-0.007888109524203522,0.09060362723927196,-0.07810049599157365,0.09509554520433496,1.0089945076905273,,0.07889815780396649,,0.016813578942007006,-0.3717024269331708,-0.3739955420024348,-0.7181485044777177
A373160,데이원컴퍼니,,,,-2.520333417899567,,-1.1682060391301112,1.6576089252854924,-1.689213648501055,2.554818985528328,-0.9424670578728653,0.4004809597252534,1.7310842050306883,-0.11676392610812249,,-0.6442922691113798,0.07907676943828632,2.4488067901368726,-1.390935692441442,-1.25252796748294,-1.373983218310311,-0.1484564401141915
